the_geom,borocode,boroname,borocd,coundist,assemdist,stsendist,congdist,location,borough,date_insta,point_x,point_y,femafldz,femafldt,hrcevac,ntaname
POINT (-73.95007957124129 40.67430574899309),3,Brooklyn,308,36,43,20,9,Nostrand Avenue and Prospect Place,Brooklyn,2023-10-24T00:00:00.000,-73.950081,40.674314,X,AREA OF MINIMAL FLOOD HAZARD,,Crown Heights (North)
POINT (-73.91954257311642 40.816545720673076),2,Bronx,201,17,84,29,15,Courtlandt Avenue and East 149 Street,Bronx,2024-01-27T00:00:00.000,-73.919544,40.816554,X,AREA OF MINIMAL FLOOD HAZARD,,Melrose
POINT (-73.96277357082607 40.62745975922299),3,Brooklyn,314,44,48,22,9,Avenue I and East  14 Street,Brooklyn,2025-10-17T00:00:00.000,-73.962775,40.627468,X,AREA OF MINIMAL FLOOD HAZARD,,Midwood
POINT (-74.0962305286397 40.61571276587155),5,Staten Island,501,49,63,24,11,Howard Avenue and Campus Road,Staten Island,2023-10-20T00:00:00.000,-74.096232,40.615721,X,AREA OF MINIMAL FLOOD HAZARD,,West New Brighton-Silver Lake-Grymes Hill
POINT (-73.94935857589593 40.6092207617288),3,Brooklyn,315,48,41,22,9,Quentin Road and East  24 Street,Brooklyn,2020-06-26T00:00:00.000,-73.94936,40.609229,X,AREA OF MINIMAL FLOOD HAZARD,4.0,Madison
POINT (-73.86759859763781 40.67342174662587),3,Brooklyn,305,42,60,19,7,Sutter Avenue and Autumn Avenue,Brooklyn,2021-08-31T00:00:00.000,-73.8676,40.67343,X,AREA OF MINIMAL FLOOD HAZARD,5.0,East New York-City Line
POINT (-73.98848955755915 40.71272274263582),1,Manhattan,103,1,65,27,10,Madison Street and Jefferson Street,Manhattan,2014-06-20T00:00:00.000,-73.988491,40.712731,X,AREA OF MINIMAL FLOOD HAZARD,3.0,Chinatown-Two Bridges
POINT (-73.8404605938605 40.88061570490176),2,Bronx,212,12,83,36,15,Boston Road and Grace Avenue,Bronx,2023-11-01T00:00:00.000,-73.840462,40.880624,X,AREA OF MINIMAL FLOOD HAZARD,,Eastchester-Edenwald-Baychester
POINT (-74.11667652260687 40.61011376796229),5,Staten Island,502,49,63,24,11,Slosson Avenue and Lortel Avenue,Staten Island,2024-09-27T00:00:00.000,-74.116678,40.610122,X,AREA OF MINIMAL FLOOD HAZARD,,Todt Hill-Emerson Hill-Lighthouse Hill-Manor Heights
POINT (-74.16421050880979 40.58698277358619),5,Staten Island,502,51,63,24,11,Richmond Hill Road and Ring Road,Staten Island,2022-09-23T00:00:00.000,-74.164212,40.586991,X,AREA OF MINIMAL FLOOD HAZARD,,New Springville-Willowbrook-Bulls Head-Travis
